ImageNo,RoiNo,RoiMean,RoiMin,RoiMax,RoiTotal,RoiDev,RoiName,RoiCenterX,RoiCenterY,RoiCenterZ,LengthCm,LengthPix,AreaPix2,AreaCm2,RadiusWidthCM,RadiusHeightCM,RadiusWidthPIX,RadiusHeightPIX,RoiType,SOPInstanceUID,SeriesInstanceUID,StudyInstanceUID,NumOfPoints,mmX,mmY,mmZ,pxX,pxY,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,1167.71875,10.098657,2125.767334,766023.5,693.148499,LACS,98.623367,-54.324539,3.620685,4.036763,161.849884,651.380432,1.553012,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245422176,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,17,94.791855,-73.005501,2.941889,232.872374,250.014185,95.222183,-70.836327,3.362738,237.390473,249.096603,95.529976,-69.064896,4.730446,241.036544,246.248609,95.96965,-66.820938,5.294706,245.704912,245.035224,96.380783,-64.797592,5.458998,249.928983,244.64713,96.943901,-62.11179,5.268966,255.553387,244.968372,97.554405,-59.147263,5.318535,261.750466,244.791482,98.112099,-56.425938,5.428285,267.436397,244.497454,98.634651,-53.878113,5.521123,272.760264,244.242472,99.129601,-51.527531,5.305225,277.684798,244.62524,99.708237,-48.835201,4.782569,283.337007,245.628014,100.277931,-46.199963,4.19306,288.87267,246.769223,100.737671,-44.081524,3.677509,293.32451,247.771996,101.308693,-41.538349,2.610243,298.688016,249.89468,101.765549,-39.577839,1.396339,302.839318,252.332691,102.133926,-38.248466,-0.801908,305.71275,256.804054,102.396103,-37.419971,-2.937086,307.536084,261.15887,,,,,
20,0,1266.557983,5.049328,2095.471191,823262.6875,652.796753,LACS,97.02047,-54.63208,3.769066,3.903565,156.815231,621.376343,1.481477,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245423177,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,17,93.444046,-72.115547,2.911161,234.097786,249.934113,93.759995,-70.476753,3.444145,237.50202,248.800188,93.961746,-69.313248,4.352274,239.896406,246.909494,94.374397,-67.144432,5.186447,244.39616,245.144846,94.813492,-64.949142,5.528267,248.972232,244.388569,95.248055,-62.838963,5.563615,253.383359,244.262522,95.79744,-60.187202,5.530754,258.929888,244.262522,96.429398,-57.111588,5.615644,265.357756,244.01043,97.011467,-54.276787,5.703527,271.281931,243.758337,97.51564,-51.868576,5.55067,276.324274,244.01043,98.041695,-49.405346,5.151127,281.492172,244.766707,98.582687,-46.947701,4.373737,286.664501,246.29748,99.201706,-44.13509,3.486722,292.583752,248.043911,99.662041,-42.076176,2.668633,296.923981,249.668234,100.145981,-39.956894,1.589117,301.401577,251.826776,100.533928,-38.420776,-0.065763,304.684197,255.179312,100.824249,-37.521034,-2.51591,306.669918,260.177835,,,,,
21,0,1543.149048,50.493282,2085.372559,732995.8125,400.198242,LACS,95.625488,-53.871166,4.219684,3.611292,146.071915,489.000549,1.165868,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245424178,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,17,92.2332,-70.496887,3.200387,236.833384,249.179804,92.428375,-69.368309,4.093336,239.155392,247.321114,92.655457,-68.045547,5.179449,241.875235,245.061636,93.083977,-65.884621,5.602649,246.375974,244.13943,93.626129,-63.204647,5.876531,251.968453,243.510066,94.095573,-60.96051,5.742891,256.666896,243.726964,94.638878,-58.333618,5.732272,262.160487,243.682013,95.13636,-55.873711,5.987133,267.293599,243.097217,95.62368,-53.4646,6.234107,272.320828,242.529878,96.190979,-50.790726,5.888166,277.926933,243.170942,96.723778,-48.379147,5.079637,283.004236,244.766707,97.179352,-46.347244,4.242175,287.288824,246.431405,97.550407,-44.690887,3.566979,290.781193,247.773108,98.046997,-42.450829,2.776427,295.499065,249.336377,98.442307,-40.664948,2.160165,299.259773,250.554004,98.836731,-38.974468,1.102059,302.839783,252.679558,99.141113,-37.879196,-0.729703,305.208077,256.405802,,,,,
22,0,1428.06189,30.295971,2014.682007,786862.125,494.359222,LACS,94.264961,-53.057346,4.118289,3.605759,145.633148,527.895996,1.258602,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245425179,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,14,90.803917,-69.95871,3.375916,237.314426,248.685959,91.039597,-68.579636,4.533157,240.148993,246.279263,91.466721,-66.294922,5.589568,244.881636,244.05622,92.004074,-63.587944,6.107148,250.520237,242.926727,92.62587,-60.529942,6.345089,256.904742,242.361422,93.33535,-57.138306,6.143346,264.00565,242.688733,93.972504,-54.056362,6.137094,270.450624,242.623271,94.6642,-50.723618,6.067128,277.422749,242.68202,95.26474,-47.979061,5.283785,283.195274,244.217717,95.88958,-45.18103,4.189373,289.092861,246.389553,96.485802,-42.515163,3.125672,294.712753,248.501813,97.050583,-40.082916,1.666774,299.860954,251.429927,97.415527,-38.592606,0.329585,303.034271,254.132537,97.691017,-37.582592,-1.237582,305.213001,257.318652,,,,,,,,,,,,,,,,,,,,
23,0,1439.330566,25.246641,2039.928589,748451.875,507.352295,LACS,92.545837,-53.81118,4.829901,3.389406,136.557968,496.503082,1.183756,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245425180,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,12,89.467529,-68.957191,3.618259,238.761498,248.043418,89.853294,-66.753761,5.251307,243.299656,244.640661,90.267334,-64.565567,6.146738,247.837322,242.749967,90.773491,-61.95805,6.913974,253.257313,241.111366,91.413315,-58.819187,7.121088,259.812212,240.60718,92.047684,-55.744595,7.144485,266.240572,240.481134,92.758598,-52.376423,6.795233,273.298672,241.111366,93.500877,-48.957996,5.953558,280.482817,242.749474,94.232475,-45.667137,4.74397,287.415855,245.144846,94.875877,-42.865097,3.233405,293.339539,248.169465,95.453926,-40.429161,1.480881,298.507927,251.699253,95.90567,-38.640007,-0.444061,302.331169,255.59881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,1627.353394,302.959686,2125.767334,603748.125,347.8479,LACS,91.51368,-51.347851,5.022053,3.011672,122.156479,365.047424,0.870341,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245426181,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,11,88.568108,-65.544258,5.30079,245.189858,244.388076,89.094025,-62.751808,6.501299,250.97814,241.856811,89.528175,-60.56879,6.899485,255.526146,240.985319,90.273285,-56.870502,7.348804,263.240572,239.970548,90.862289,-54.028915,7.306867,269.184443,239.984334,91.506584,-50.951485,7.111125,275.628065,240.307327,92.182167,-47.883556,6.134936,282.084984,242.230026,92.85804,-44.923428,4.628896,288.339047,245.24135,93.461884,-42.347561,2.949829,293.796948,248.617027,93.93515,-40.372303,1.422364,297.99242,251.697283,94.38076,-38.583813,-0.361784,301.808273,255.308313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,1700.18335,434.242249,2105.569824,530457.1875,283.846893,LACS,89.841087,-51.702499,6.577728,2.649607,106.373138,303.38739,0.723332,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245426182,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,11,87.474922,-63.22427,6.230059,249.364802,242.304252,87.85952,-61.128284,7.369325,253.699275,239.916189,88.182281,-59.402214,8.165644,257.274822,238.240356,88.745049,-56.498978,9.038522,263.308695,236.377737,89.242729,-54.06974,9.140015,268.3842,236.108032,89.797058,-51.500782,8.589657,273.779597,237.170703,90.305054,-49.296528,7.357707,278.441382,239.639502,90.834358,-46.914375,6.488535,283.459716,241.360286,91.400978,-44.462864,5.079967,288.646071,244.184763,91.926743,-42.265938,3.395389,293.311782,247.58138,92.483292,-39.963509,1.500167,298.207049,251.406993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0,1574.205811,141.381195,2090.421875,536804.1875,393.161072,LACS,88.317459,-51.492081,7.377903,2.555751,100.951164,319.07312,0.76073,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245427183,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,11,86.092361,-62.430965,6.546243,250.373357,241.51565,86.339798,-60.97525,7.79928,253.364109,238.910689,86.790245,-58.487175,9.294842,258.50333,235.782467,87.179405,-56.440617,10.087196,262.749211,234.106633,87.71946,-53.822659,10.109477,268.222727,233.994475,88.256371,-51.320877,9.642149,273.474107,234.888689,88.74984,-49.152,8.579499,278.054717,237.011412,89.333382,-46.615665,7.185212,283.417821,239.804466,89.905167,-44.192116,5.519759,288.556605,243.156133,90.36219,-42.300076,3.969909,292.579043,246.284355,90.763794,-40.675514,2.423381,296.041995,249.412577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,1134.415771,232.269104,1853.103516,285872.7813,416.90567,MACS,71.083908,-60.487774,8.418984,2.896949,116.907578,249.881989,0.595765,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245392129,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,14,68.164558,-75.175804,5.697593,217.389556,242.374078,68.634819,-72.692673,6.704081,222.539252,240.248301,69.104912,-70.368294,6.944444,227.389567,239.696672,69.548302,-68.145317,7.31979,232.022111,238.870976,70.017601,-65.785789,7.749232,236.937888,237.930938,70.503929,-63.285,8.464191,242.136899,236.402176,70.961189,-60.93438,9.133101,247.023872,234.971608,71.398544,-58.653549,9.930637,251.759411,233.279191,71.858932,-56.267761,10.696638,256.715775,231.648746,72.290054,-54.164253,10.78045,261.110909,231.423554,72.718124,-52.202679,10.24741,265.235466,232.466149,73.090897,-50.62281,9.160975,268.585387,234.652589,73.351837,-49.586422,8.063169,270.79932,236.876122,73.530975,-48.944077,6.974087,272.188866,239.091801,,,,,,,,,,,,,,,,,,,,
37,0,1438.879272,817.991211,2070.224609,283459.2188,264.713898,MACS,69.575272,-60.554775,7.521517,2.850084,116.11972,193.744949,0.461924,0,0,0,0,11,1.3.46.670589.11.17366.5.0.13324.2021061512245393130,1.3.46.670589.11.17366.5.0.13324.2021061512145040121,1.2.840.114350.2.215.2.798268.2.211441368.1,14,66.674141,-75.038292,5.364547,217.054389,242.932689,67.048729,-73.059723,6.16924,221.157561,241.233289,67.655113,-70.045525,6.556715,227.444118,240.362641,68.005089,-68.33387,6.644318,231.019666,240.139633,68.552483,-65.6707,6.713742,236.585702,239.929718,69.020706,-63.330288,7.075705,241.464383,239.12846,69.501862,-60.826996,7.924152,246.662957,237.326066,69.923607,-58.637936,8.642975,251.209965,235.797305,70.302414,-56.706989,9.117763,255.2276,234.775221,70.721268,-54.616413,9.426817,259.586076,234.08874,71.115685,-52.765533,9.146641,263.468423,234.61593,71.600395,-50.562138,8.457079,268.105331,235.97318,71.863304,-49.452679,7.667568,270.458917,237.56304,72.069023,-48.719769,6.394012,272.045721,240.154471,,,,,,,,,,,,,,,,,,,,
