ImageNo,RoiNo,RoiMean,RoiMedian,RoiMin,RoiMax,RoiTotal,RoiDev,RoiName,RoiCenterX,RoiCenterY,RoiCenterZ,LengthCm,LengthPix,AreaPix2,AreaCm2,RadiusWidthCM,RadiusHeightCM,RadiusWidthPIX,RadiusHeightPIX,RoiType,SOPInstanceUID,SeriesInstanceUID,StudyInstanceUID,NumOfPoints,mmX,mmY,mmZ,pxX,pxY,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,0,811.367493,975.70697,10.163614,1814.2052,495745.5313,621.868042,LACS,110.719971,-46.224102,-9.818521,3.718897,149.770218,562.025513,1.339973,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342548271715,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,12,108.808746,-63.475243,-9.440887,251.552804,273.567803,109.034767,-61.200512,-8.911272,256.204248,272.360427,109.257935,-58.94294,-8.360266,260.818986,271.110098,109.540619,-56.089809,-7.678112,266.652036,269.559096,109.95742,-52.235477,-7.534784,274.581352,269.058386,110.323257,-48.773457,-7.215739,281.691528,268.218695,110.83812,-44.17326,-7.432691,291.179916,268.416159,111.365685,-39.942375,-8.836567,299.982959,271.065583,111.831161,-36.13496,-9.893006,307.89182,273.025813,112.294945,-32.761402,-11.973608,314.972075,277.10793,112.611298,-30.8388,-14.319167,319.080746,281.810918,112.775681,-30.120996,-16.226112,320.680168,285.679833,,,,,,,,,,
68,0,874.294739,1128.161133,0,1804.041504,456381.8438,603.466553,LACS,109.367561,-44.670845,-9.541196,3.461197,138.771606,522.66803,1.246138,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342548311719,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,11,107.612785,-60.640137,-9.513331,257.055501,273.43582,107.827766,-58.187836,-8.303098,262.029485,270.824263,108.147018,-55.003838,-7.626206,268.54432,269.266232,108.4562,-52.089592,-7.385111,274.531219,268.615687,108.851807,-48.364777,-7.086358,282.183923,267.803481,109.286575,-44.389626,-7.047948,290.368759,267.511252,109.729416,-40.808086,-8.15259,297.815444,269.582396,110.212547,-36.97963,-9.551041,305.789314,272.242315,110.628357,-33.803303,-11.044963,312.426119,275.132863,111.014221,-31.185125,-13.23763,317.957714,279.485197,111.276497,-29.927326,-16.004833,320.723902,285.08786,,,,,,,,,,,,,,,
72,0,742.454224,665.716736,0,1743.059814,510066.0625,621.119324,LACS,107.949898,-43.985882,-9.934469,3.613222,142.495148,643.57489,1.534402,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342548351723,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,12,106.12722,-60.479546,-9.676505,257.055501,273.633404,106.327576,-58.389992,-9.028087,261.318025,272.192519,106.585075,-55.530045,-7.767952,267.128427,269.45679,106.895668,-52.493401,-7.258695,273.350396,268.250193,107.272926,-48.724621,-6.443536,281.060891,266.377432,107.649567,-45.320778,-6.5076,288.075543,266.325888,108.081612,-41.758366,-7.4185,295.470528,268.001065,108.560074,-38.002823,-8.891294,303.298949,270.817235,108.983078,-34.803204,-10.488634,309.990281,273.918458,109.418594,-31.770782,-12.774102,316.38094,278.4387,109.647804,-30.743118,-15.367576,318.662148,283.697736,109.849586,-29.813995,-17.591063,320.716873,288.203921,,,,,,,,,,
76,0,623.948914,208.354095,0,1753.223511,464218,609.720032,LACS,106.549973,-43.215092,-10.513032,3.65766,142.69722,713.896057,1.702061,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342548391727,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,11,104.740784,-59.483387,-10.00414,258.786908,274.123072,104.942619,-57.102093,-8.674656,263.607041,271.270978,105.209938,-54.310963,-7.801851,269.300298,269.332615,105.544579,-50.891506,-6.89178,276.285272,267.284136,105.915527,-47.237381,-6.216532,283.768506,265.704239,106.508034,-42.123066,-6.905763,294.345726,266.841864,107.026688,-38.06152,-8.525383,302.81372,269.942457,107.465591,-34.927315,-10.637108,309.402993,274.101205,107.960838,-31.889231,-14.23992,315.88893,281.32047,108.294563,-29.890949,-16.787569,320.166291,286.433468,108.440552,-29.448614,-18.958651,321.215131,290.858431,,,,,,,,,,,,,,,
80,0,603.954224,198.190475,5.081807,1890.432251,471688.25,608.127075,LACS,104.924622,-44.02681,-9.94031,3.850012,150.81543,746.127625,1.778907,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342548431731,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,14,103.001633,-61.958443,-10.965692,253.409165,276.098139,103.245598,-59.562523,-10.539499,258.316766,275.096158,103.453346,-57.07737,-9.087738,263.343076,271.987906,103.738686,-53.903042,-7.67881,269.791524,268.930417,104.066208,-50.524643,-6.710487,276.688252,266.764792,104.37677,-47.403099,-5.992684,283.071883,265.126322,104.675026,-44.56562,-5.695842,288.897122,264.36566,105.06601,-41.350021,-6.540491,295.573615,265.923691,105.510864,-37.874222,-7.948776,302.821777,268.622716,105.816063,-35.842857,-9.779613,307.121786,272.265149,106.056686,-34.368862,-11.535255,310.269086,275.78341,106.400589,-32.120174,-13.696896,315.037676,280.092008,106.659821,-30.501694,-15.513486,318.486429,283.727414,106.877464,-29.322702,-17.479017,321.039413,287.691606
84,0,714.955688,553.916992,0,1768.468872,432548.1875,611.355225,LACS,103.218826,-45.371933,-8.879952,3.462045,135.967239,586.040649,1.39723,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342548471735,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,11,101.621964,-60.755684,-10.938561,255.54355,275.849791,101.900253,-58.007145,-10.414514,261.171201,274.628358,102.090004,-55.620575,-8.802761,265.984307,271.197566,102.353096,-52.529781,-7.102369,272.242204,267.547322,102.673141,-49.115074,-5.878491,279.197501,264.856108,103.029549,-45.64249,-5.323499,286.314462,263.532366,103.457283,-41.957115,-5.837423,293.937488,264.387526,104.0112,-37.745407,-7.875595,302.741338,268.337662,104.42543,-34.639336,-9.506302,309.242114,271.512295,104.788895,-32.231709,-11.714792,314.341052,275.908364,105.056282,-30.846891,-14.285233,317.356369,281.101019,,,,,,,,,,,,,,,
88,0,684.01123,431.953613,10.163614,1798.959717,410406.75,602.052368,LACS,101.838882,-44.030487,-8.507358,3.29245,127.234352,563.559204,1.34363,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342548511739,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,13,100.360779,-58.268707,-10.409229,260.291051,274.503403,100.568108,-56.257732,-10.108625,264.413781,273.779446,100.710648,-54.313889,-8.528325,268.31706,270.436904,100.837692,-52.558651,-7.064298,271.839223,267.342709,101.09201,-49.747604,-5.852805,277.552003,264.709286,101.388435,-46.718895,-5.0472,283.73883,262.89588,101.713631,-43.654552,-4.795563,290.034211,262.215655,101.980255,-41.591263,-5.688511,294.340467,263.934565,102.422729,-38.294151,-7.481261,301.245003,267.430958,102.781677,-35.44804,-8.51593,307.172549,269.398217,103.15638,-32.859711,-10.532877,312.631514,273.392087,103.347954,-31.784395,-12.170957,314.950208,276.690894,103.545227,-30.898685,-14.400157,316.915903,281.211136,,,,,
92,0,730.706909,528.507935,5.081807,1737.978027,339048,601.360229,LACS,100.485558,-42.37241,-7.953023,2.912348,110.726875,451.346863,1.076095,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342548551743,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,12,99.226364,-54.61644,-9.853639,267.436906,273.04065,99.380608,-52.812519,-8.87644,271.090276,270.941409,99.403404,-51.50919,-6.194894,273.604438,265.376707,99.528854,-49.846912,-4.922669,276.947334,262.680555,99.879257,-46.406708,-4.313063,283.994102,261.246657,100.272667,-43.041531,-4.845582,290.958877,262.157084,100.671135,-40.006622,-6.299233,297.301849,264.972716,100.999062,-37.659519,-7.863818,302.235271,268.052609,101.256058,-35.514835,-8.343019,306.682891,268.91934,101.513405,-33.650856,-9.516917,310.596458,271.22463,101.753792,-32.186588,-11.2911,313.724869,274.781428,101.942116,-31.217129,-13.115832,315.837387,278.468377,,,,,,,,,,
96,0,789.836487,955.379761,5.081807,1682.078125,292239.5,581.638611,LACS,99.252167,-39.914719,-8.114898,2.599888,101.422859,342.756409,0.817195,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342548591747,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,9,97.80899,-52.441597,-6.607045,271.369081,266.143143,98.216194,-47.926109,-4.631743,280.543869,261.853102,98.614746,-44.120632,-4.201437,288.354348,260.766959,99.026398,-40.863701,-5.405457,295.138771,263.059187,99.359741,-38.626408,-7.359439,299.870735,266.942862,99.661201,-36.456638,-8.768179,304.429009,269.712947,99.914986,-34.505482,-9.649446,308.503578,271.413946,100.216652,-32.600403,-11.710589,312.558103,275.535061,100.450623,-31.691496,-14.700761,314.619858,281.613333,,,,,,,,,,,,,,,,,,,,,,,,,
136,0,1188.353516,1229.797363,228.68132,1824.368774,244800.8281,288.445801,MACS,83.062843,-50.61565,-10.141159,3.297244,136.617279,224.74617,0.535837,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342548991787,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,10,81.14492,-67.515518,-8.754476,237.047887,270.07141,81.522751,-64.012909,-8.603508,244.252317,269.573935,82.032669,-59.529408,-8.995823,253.511472,270.137011,82.535301,-55.013428,-9.146198,262.822167,270.202613,82.880257,-51.809982,-8.994627,269.410413,269.719975,83.220467,-48.591507,-8.700533,276.020524,268.944474,83.758865,-44.121372,-9.760225,285.294517,270.875807,84.122444,-41.467361,-11.36842,290.862818,274.028575,84.566833,-38.079391,-12.981376,297.943071,277.151665,84.843918,-36.015671,-14.106447,302.264947,279.346184,,,,,,,,,,,,,,,,,,,,
