ImageNo,RoiNo,RoiMean,RoiMedian,RoiMin,RoiMax,RoiTotal,RoiDev,RoiName,RoiCenterX,RoiCenterY,RoiCenterZ,LengthCm,LengthPix,AreaPix2,AreaCm2,RadiusWidthCM,RadiusHeightCM,RadiusWidthPIX,RadiusHeightPIX,RoiType,SOPInstanceUID,SeriesInstanceUID,StudyInstanceUID,NumOfPoints,mmX,mmY,mmZ,pxX,pxY,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0,951.255249,1173.897461,15.245421,1890.432251,409039.75,611.832703,MACS,82.14563,-46.04002,-12.166612,4.300864,176.241058,436.746155,1.041284,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342549031791,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,14,79.646118,-67.502991,-8.985048,236.747212,270.415036,80.007072,-64.126457,-8.766362,243.687676,269.785576,80.374199,-60.866066,-8.969583,250.415715,270.026896,80.705597,-58.180347,-9.782813,255.998853,271.549002,81.126221,-54.686146,-10.60617,263.247796,273.048461,81.568848,-50.719444,-10.763505,271.427651,273.157796,81.966293,-46.918892,-10.320379,279.227178,272.045697,82.395508,-43.211658,-10.813937,286.893939,272.857903,82.877907,-39.39753,-12.231091,294.839505,275.556929,83.289627,-36.351532,-13.952845,301.222355,278.421338,83.535072,-34.06786,-13.83434,305.918315,278.555844,83.911942,-31.188715,-15.187743,311.93411,281.17443,84.197662,-29.312674,-16.964586,315.910798,284.714557,84.436768,-28.029875,-19.154257,318.691824,289.132492
144,0,1069.351929,1356.842529,10.163614,2032.7229,435226.25,656.499329,MACS,80.852875,-44.318604,-12.807176,4.364306,178.691666,395.827576,0.943726,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342549071795,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,14,78.132957,-67.668854,-9.332147,236.086515,271.00701,78.540932,-63.926575,-9.266351,243.789983,270.671195,78.986259,-60.250175,-10.194343,251.420819,272.375266,79.645683,-54.77663,-11.495872,262.776802,274.748243,80.277634,-49.093723,-11.672678,274.492584,274.805311,80.549072,-46.423973,-11.188654,279.960507,273.670109,80.867119,-43.516308,-11.16121,285.947406,273.457688,81.141479,-41.366074,-12.013753,290.430162,275.089129,81.402451,-39.213692,-12.562588,294.898078,276.098139,81.869377,-35.563606,-14.036474,302.509361,278.922224,82.193092,-32.702938,-14.250278,308.41481,279.206656,82.544106,-30.025091,-15.520139,314.010703,281.664878,82.809265,-28.334322,-17.292126,317.605497,285.205004,82.980782,-27.598436,-19.313868,319.249435,289.30821
148,0,1400.092285,1682.078125,30.490843,2022.559204,326221.5,562.435425,MACS,79.147186,-46.074997,-12.755875,4.190592,173.801666,204.578613,0.487753,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342549111799,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,13,76.642914,-67.477875,-9.32118,236.138059,270.846131,76.940048,-64.770393,-9.317442,241.71417,270.693061,77.406815,-60.844582,-10.112867,249.850293,272.11208,77.819695,-57.514004,-11.164047,256.776696,274.087147,78.401901,-52.672039,-12.290289,266.820725,276.134844,78.860802,-48.597668,-12.546865,275.228623,276.441765,79.257057,-44.950848,-12.453413,282.733724,276.054406,79.687408,-41.097645,-12.615011,290.680071,276.178578,80.05941,-38.018456,-13.370314,297.069949,277.560893,80.458382,-34.666061,-14.058087,304.01822,278.790135,80.823532,-31.543226,-14.553856,310.48151,279.638266,81.161903,-29.120651,-16.166649,315.57342,282.8129,81.393555,-27.701496,-17.85644,318.603575,286.199176,,,,,
152,0,1338.915039,1641.423706,30.490843,2007.313843,337406.5938,592.283875,MACS,77.58596,-46.762939,-13.309427,4.322211,178.198608,229.786209,0.547853,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342549161803,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,13,75.107346,-68.108566,-10.306309,234.560506,272.770436,75.35331,-65.671478,-9.824019,239.549329,271.651309,75.693108,-62.779984,-10.320963,245.536229,272.514277,76.151733,-58.998222,-11.287535,253.386518,274.29176,76.685501,-54.755959,-12.801681,262.220044,277.166503,77.227203,-50.099274,-13.478649,271.85395,278.303557,77.707352,-45.669498,-13.339026,280.968688,277.779547,78.149544,-41.77116,-13.653839,289.017738,278.215239,78.574921,-38.006824,-13.922037,296.787803,278.56262,78.932091,-34.930035,-14.352693,303.152127,279.279802,79.362106,-31.296402,-15.04401,310.679875,280.501236,79.736351,-28.391939,-16.276875,316.740186,282.871473,79.93692,-27.43895,-18.414858,318.838646,287.201159,,,,,
156,0,1242.888184,1544.869385,15.245421,2159.768066,425067.75,694.302795,MACS,76.191864,-45.940353,-13.891165,4.269018,174.80159,289.243378,0.68961,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342549201807,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,11,73.751213,-66.888428,-10.761373,236.761273,273.50923,73.94664,-64.929726,-10.323348,240.767636,272.506468,74.459358,-60.644749,-11.263865,249.652707,274.203511,75.042992,-55.880947,-12.613305,259.549912,276.712762,75.696579,-50.302143,-13.527135,271.098084,278.28563,76.316628,-44.798889,-13.878325,282.454919,278.709696,76.864296,-39.946442,-14.209046,292.470049,279.126732,77.439293,-34.91827,-14.718923,302.858483,279.901453,77.883453,-31.11388,-15.307633,310.731419,280.903434,78.233131,-28.449541,-16.580702,316.29972,283.36895,78.476929,-27.470839,-19.6192,318.508297,289.5425,,,,,,,,,,,,,,,
160,0,1448.515137,1707.487183,20.327229,2235.995117,367922.8438,633.396545,MACS,74.772697,-45.289917,-14.335437,4.208586,173.197906,238.146988,0.567787,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342549241811,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,12,72.242241,-67.045517,-11.180353,236.12322,274.248026,72.540901,-64.181282,-10.827037,242.000005,273.370219,73.021446,-60.230843,-11.869309,250.202512,275.293742,73.578735,-55.666889,-13.120517,259.681897,277.612435,74.181541,-50.505154,-13.923182,270.363977,278.97991,74.711319,-45.85146,-14.341673,279.975345,279.587503,75.247948,-41.125732,-14.736525,289.733539,280.142771,75.630745,-37.692429,-14.865774,296.813011,280.223211,76.056465,-33.912884,-15.104332,304.612537,280.509045,76.420937,-30.793245,-15.592779,311.068797,281.342338,76.703957,-28.807327,-17.040531,315.25088,284.202242,76.936157,-27.666231,-19.423168,317.752319,289.023156,,,,,,,,,,
164,0,1512.596436,1763.387085,91.472527,2119.113525,319157.8438,594.778992,MACS,73.318382,-44.950901,-14.758366,4.137969,171.20192,199.240494,0.475026,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342549271815,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,11,70.808113,-66.533936,-11.630964,236.864362,275.015717,71.219948,-62.701839,-11.431458,244.744325,274.401097,71.707329,-58.69865,-12.496841,253.056947,276.369136,72.313942,-53.701756,-13.787976,263.430543,278.746401,72.95549,-48.156239,-14.514946,274.898274,279.938158,73.513046,-43.265209,-14.971678,285.000873,280.611353,74.024521,-38.728729,-15.268948,294.363115,280.976845,74.47226,-34.850311,-15.756313,302.382093,281.767185,74.89254,-31.225029,-16.251148,309.880164,282.58642,75.130325,-29.267033,-16.759069,313.945102,283.522019,75.464661,-27.331137,-19.472767,318.104536,288.978641,,,,,,,,,,,,,,,
168,0,1861.460083,1859.941406,1458.478638,2332.549561,161947.0313,164.122482,MACS,71.721947,-45.704025,-14.686805,3.772669,157.56778,36.004478,0.085841,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342549321819,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,10,69.382164,-65.905403,-11.977543,237.839788,275.563958,69.867615,-61.480835,-11.968889,246.952123,275.308581,70.383202,-57.213158,-13.015664,255.808297,277.224295,70.986832,-52.256294,-14.338143,266.101453,279.667943,71.561073,-47.211967,-14.791656,276.519563,280.326299,72.155411,-42.02837,-15.352103,287.231317,281.196297,72.678246,-37.442928,-15.782924,296.702894,281.832786,73.095589,-33.711296,-15.951999,304.399332,281.978827,73.450188,-30.630236,-16.314793,310.768125,282.556743,73.659187,-29.159805,-17.374392,313.863881,284.648956,,,,,,,,,,,,,,,,,,,,
172,0,1810.201172,1829.450562,1361.924316,2169.931641,119473.2813,180.085617,MACS,70.174843,-46.127819,-14.908503,3.613523,151.229431,31.115713,0.074186,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342549351823,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,10,68.035149,-64.521019,-12.233782,240.366223,275.886496,68.43586,-60.913193,-12.335199,247.803376,275.900555,68.88311,-57.145958,-13.083784,255.609929,277.232104,69.444611,-52.569939,-14.399333,265.118215,279.682001,69.908661,-48.541637,-14.883374,273.445672,280.457501,70.489975,-43.475513,-15.441131,283.915328,281.32828,71.031334,-38.741829,-15.921947,293.695388,282.059267,71.47554,-34.814419,-16.210505,301.802614,282.439598,71.886421,-31.317078,-16.809069,309.043748,283.478284,72.157738,-29.237591,-17.76687,313.387491,285.329178,,,,,,,,,,,,,,,,,,,,
176,0,1893.019287,1900.595825,1417.824219,2251.240479,104116.0625,175.699539,MACS,68.673859,-46.115059,-15.089918,3.400944,142.494934,21.304934,0.050795,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342549391827,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,10,66.671257,-63.36935,-12.683254,242.425633,276.617484,67.052322,-59.934349,-12.76985,249.505887,276.610453,67.472046,-56.34721,-13.345628,256.930547,277.597598,67.931824,-52.539242,-14.273643,264.832379,279.29464,68.453094,-48.076069,-14.968801,274.068887,280.479369,68.922905,-44.109867,-15.733265,282.286229,281.832786,69.479393,-39.202446,-16.126013,292.418506,282.373996,69.922379,-35.25856,-16.347164,300.555409,282.615315,70.281166,-32.269623,-17.028837,306.754731,283.851588,70.552208,-30.043921,-17.622665,311.376499,284.948847,,,,,,,,,,,,,,,,,,,,
180,0,1844.601807,1844.696045,1473.724121,2246.158691,99608.5,185.087799,MACS,67.163261,-46.225315,-15.35799,2.883229,120.84024,34.460873,0.082161,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342549431831,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,8,65.47451,-60.691555,-13.123178,247.62766,277.246943,65.880486,-57.047855,-13.25413,255.140569,277.319573,66.391159,-52.776943,-14.1836,263.995965,278.994749,66.924103,-48.237553,-14.95241,273.394128,280.326299,67.477982,-43.578789,-15.895487,283.049235,282.008504,67.969437,-39.328053,-16.445959,291.839027,282.908178,68.404259,-35.613503,-17.046419,299.527655,283.939056,68.784142,-32.528267,-17.962729,305.940182,285.650938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,0,1763.493042,1798.959717,1245.042725,2200.422607,84647.66406,254.402451,MACS,65.817505,-44.914566,-15.82249,2.812341,117.922417,24.986017,0.059571,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619649342549471835,1.3.6.1.4.1.19291.2.1.2.16012510615619649342547581650,1.3.6.1.4.1.19291.2.1.1.16012510615619649342528272,8,64.110832,-59.465813,-13.396214,249.828427,277.612435,64.537643,-55.660423,-13.595819,257.678716,277.81705,65.096992,-50.936417,-14.501347,267.465802,279.418814,65.686577,-46.015045,-15.597649,277.671491,281.400911,66.172127,-41.948975,-16.468388,286.101256,282.966751,66.592415,-38.35815,-17.047703,293.533728,283.960923,66.996994,-34.929138,-17.673071,300.635849,285.058182,67.346466,-32.002575,-18.299746,306.703187,286.185119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
