ImageNo,RoiNo,RoiMean,RoiMedian,RoiMin,RoiMax,RoiTotal,RoiDev,RoiName,RoiCenterX,RoiCenterY,RoiCenterZ,LengthCm,LengthPix,AreaPix2,AreaCm2,RadiusWidthCM,RadiusHeightCM,RadiusWidthPIX,RadiusHeightPIX,RoiType,SOPInstanceUID,SeriesInstanceUID,StudyInstanceUID,NumOfPoints,mmX,mmY,mmZ,pxX,pxY,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,8655.892578,4836.637695,0,26128.96289,11564272,7559.841797,LACS,-97.336662,-52.255508,0.183531,4.309023,184.779709,1265.740845,2.422707,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859792514,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,13,-93.253456,-70.903824,1.866858,145.543361,187.566637,-93.649345,-68.993294,3.55098,149.975106,183.685064,-94.26194,-66.133591,4.414747,156.645492,181.662701,-94.999275,-62.721874,4.908448,164.615425,180.476981,-95.776466,-59.151131,4.971543,172.96697,180.272838,-96.649948,-55.160709,4.632581,182.309209,180.980675,-97.482361,-51.394932,3.642165,191.140449,183.181371,-98.423439,-47.17886,1.777371,201.044528,187.373127,-99.347198,-43.059383,-0.39505,210.729488,192.269675,-99.993896,-40.215965,-2.646503,217.431174,197.36827,-100.396576,-38.510151,-5.214952,221.478751,203.210548,-100.552948,-37.947594,-8.011977,222.857032,209.594463,-100.589798,-37.950333,-11.11028,222.919639,216.67653,,,,,,,,,,
32,0,9941.824219,11507.86231,37.062359,23923.75195,10130719,7330.577637,LACS,-99.012291,-53.924149,0.836842,4.055665,178.492004,971.622864,1.859747,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859802515,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,13,-95.086067,-71.900879,1.636957,144.212508,188.155702,-95.490021,-69.977943,2.877358,148.683146,185.288158,-96.043472,-67.385651,3.814816,154.726347,183.10185,-96.67363,-64.475922,4.127202,161.52605,182.338982,-97.420639,-61.04319,4.199789,169.554527,182.115474,-98.202087,-57.464508,4.053247,177.929284,182.3904,-98.990356,-53.874458,3.547164,186.338672,183.486957,-99.832008,-50.066578,2.551486,195.268527,185.698959,-100.798698,-45.730385,0.733147,205.45256,189.78251,-101.550232,-42.384552,-1.135633,213.320998,193.997981,-102.091248,-39.98595,-2.661313,218.965972,197.445105,-102.414131,-38.620338,-4.759575,222.207252,202.218338,-102.567162,-38.103558,-8.10571,223.490676,209.858167,,,,,,,,,,
33,0,9927.581055,11081.64551,166.780609,26406.93164,10036784,7504.615723,LACS,-100.742447,-55.389961,0.63318,4.213889,186.655167,995.628662,1.905695,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859812516,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,14,-96.633453,-74.222511,1.128777,139.7893,189.403079,-97.062073,-72.213875,1.873464,144.47147,187.667186,-97.487297,-70.204338,2.914899,149.149122,185.252991,-98.069275,-67.50383,3.442752,155.454587,184.001132,-98.840553,-63.958218,3.541719,163.74653,183.715419,-99.557823,-60.673248,3.410979,171.433889,183.959159,-100.351913,-57.025913,3.455822,179.964998,183.795462,-101.058891,-53.796631,3.1732,187.52547,184.387288,-101.840454,-50.258144,2.29243,195.822578,186.341153,-102.819099,-45.85944,0.61225,206.149764,190.107871,-103.594193,-42.402866,-1.209619,214.276214,194.214256,-104.095436,-40.192593,-2.83933,219.482948,197.902318,-104.416687,-38.841587,-5.06613,222.692924,202.96961,-104.567169,-38.306229,-7.866688,224.007652,209.362062,,,,,
34,0,9032.407227,7931.344727,0,23590.19141,9321444,7301.341309,LACS,-102.517715,-56.629612,0.775059,4.255218,189.203156,965.338196,1.847718,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859822517,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,14,-98.526184,-74.917427,1.37141,139.154702,188.906974,-98.957924,-72.895599,2.095666,143.868176,187.217561,-99.371849,-70.945923,2.993088,148.409008,185.13354,-99.801117,-68.941818,3.602114,153.083589,183.70783,-100.377907,-66.291344,3.656791,159.282568,183.538375,-101.12146,-62.900269,3.264184,167.22395,184.378893,-101.961716,-59.055313,3.052331,176.223062,184.798628,-102.721962,-55.581573,2.767915,184.355424,185.390454,-103.544205,-51.840256,2.178091,193.120536,186.675892,-104.648277,-46.845387,0.866972,204.83409,189.589,-105.318848,-43.83865,-0.415842,211.896236,192.470773,-105.944443,-41.064251,-2.165061,218.425285,196.42254,-106.356606,-39.302349,-4.506919,222.599014,201.745947,-106.595543,-38.394394,-7.909876,224.798766,209.509092,,,,,
35,0,8893.757812,7227.160156,166.780609,23404.87891,8315663.5,7179.681641,LACS,-104.627144,-56.343025,0.780483,4.248836,189.385269,926.68335,1.77373,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859832518,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,14,-100.429581,-75.561302,1.651013,138.638678,188.325497,-100.902695,-73.33651,2.610742,143.821696,186.094447,-101.401947,-71.007347,3.288757,149.255138,184.505582,-101.94529,-68.493965,3.639653,155.126822,183.66135,-102.658882,-65.22953,3.442641,162.767599,184.056906,-103.445717,-61.634327,3.148582,171.184312,184.668738,-104.23587,-58.022205,2.884692,179.639917,185.211323,-105.058235,-54.271351,2.457108,188.423728,186.12575,-105.880646,-50.536201,1.741636,197.177184,187.698489,-106.595284,-47.304585,0.867183,204.756305,189.643069,-107.382416,-43.766449,-0.480953,213.062984,192.665232,-107.968262,-41.176487,-2.265747,219.161376,196.701421,-108.34462,-39.570961,-4.464122,222.966117,201.699467,-108.530563,-38.891144,-7.59441,224.626121,208.843191,,,,,
36,0,8787.990234,7616.314941,222.374146,23905.2207,7540096,7059.203125,LACS,-106.799606,-55.76442,0.834784,4.130424,184.858246,837.322388,1.602687,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859842519,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,13,-102.58255,-75.028786,2.487619,140.862139,186.451111,-103.152374,-72.366806,3.325868,147.070568,184.490405,-103.712173,-69.763817,3.930491,153.146195,183.064696,-104.300568,-67.058792,4.008986,159.472247,182.839884,-105.1343,-63.261963,3.469023,168.366094,184.010426,-106.087143,-58.911682,3.05073,178.5519,184.89355,-106.917542,-55.127842,2.551942,187.414443,185.970184,-107.771652,-51.24955,1.794752,196.503696,187.635883,-108.672684,-47.173077,0.727349,206.063445,190.007322,-109.41832,-43.825554,-0.622706,213.924293,193.037073,-109.907631,-41.665123,-2.163653,219.01245,196.523089,-110.25296,-40.195545,-4.245663,222.496574,201.25743,-110.485008,-39.308937,-7.462543,224.642249,208.595613,,,,,,,,,,
37,0,8940.104492,8561.405273,352.092407,22478.32031,6687198.5,6869.554199,LACS,-108.616928,-56.79393,1.284467,4.047403,182.695801,730.875488,1.398941,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859852520,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,13,-104.410873,-76.005615,2.976335,139.562591,185.397244,-104.943863,-73.523003,3.629572,145.355542,183.862448,-105.601212,-70.475296,4.179883,152.472707,182.553414,-106.20713,-67.690018,4.254472,158.986576,182.33619,-106.948555,-64.306168,3.907605,166.91003,183.072285,-107.780792,-60.507919,3.517023,175.803876,183.90134,-108.685028,-56.394363,2.852718,185.441405,185.350763,-109.63961,-52.065811,1.898839,195.588321,187.458499,-110.477409,-48.27285,0.952622,204.482169,189.557697,-111.161842,-45.186775,-0.04651,211.723594,191.789696,-111.736877,-42.630589,-1.54637,217.736617,195.175163,-112.102699,-41.071335,-3.707055,221.432265,200.087837,-112.324203,-40.191345,-6.171098,223.545692,205.705303,,,,,,,,,,
38,0,9111.59668,8542.874023,296.498871,22886.00586,6350783,7169.436523,LACS,-110.504829,-57.515076,1.453661,3.972016,180.226196,672.447876,1.287107,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859862521,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,12,-106.310623,-76.674896,3.100095,138.990599,185.172431,-106.94825,-73.709763,3.793769,145.911408,183.537087,-107.578941,-70.782089,4.385642,152.746845,182.135092,-108.317467,-67.383736,4.540383,160.693064,181.724358,-109.098969,-63.811859,4.266836,169.05476,182.289709,-110.168037,-58.953861,3.383763,180.438617,184.226701,-111.133499,-54.579361,2.358165,190.694617,186.497592,-112.091797,-50.24651,1.173927,200.856712,189.131787,-112.850853,-46.827053,0.010092,208.881664,191.734679,-113.491249,-43.957085,-1.241424,215.623191,194.547206,-113.889503,-42.219158,-2.864344,219.72483,198.22768,-114.178787,-41.035507,-5.462992,222.551589,204.147741,,,,,,,,,,,,,,,
39,0,9641.451172,9154.402344,0,22367.13281,5833078,7116.90918,LACS,-112.568649,-57.436054,1.491243,3.749525,171.239838,551.278809,1.055182,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859872522,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,11,-108.556541,-75.750076,3.317142,142.145562,184.707629,-109.156677,-72.954887,4.04942,148.667969,182.986913,-109.892487,-69.553963,4.475136,156.614188,181.956759,-110.764374,-65.558937,4.350779,165.962403,182.173983,-111.798332,-60.84964,3.692482,176.99339,183.599693,-112.735481,-56.601437,2.732543,186.952487,185.722605,-113.733871,-52.084473,1.550279,197.545234,188.349212,-114.510902,-48.572952,0.558405,205.781718,190.557496,-115.245163,-45.28363,-0.899534,213.508815,193.834825,-115.774857,-42.951118,-2.679541,219.004859,197.864375,-116.086441,-41.635452,-4.743405,222.128524,202.559825,,,,,,,,,,,,,,,,,,,,
40,0,12080.47168,14139.29004,0,21347.91797,5303327,6570.181641,LACS,-114.766502,-56.744129,1.487569,3.371265,154.359116,399.876312,0.765388,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859882523,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,10,-111.213654,-72.925369,3.760936,149.73986,183.692653,-111.847427,-69.996704,4.11584,156.582885,182.832295,-112.526581,-66.87281,4.235252,163.887867,182.506934,-113.303078,-63.328972,3.870189,172.186008,183.28192,-114.27964,-58.896,2.980276,182.575759,185.241677,-115.45974,-53.545891,1.781522,195.117828,187.891998,-116.344833,-49.535034,0.850308,204.52106,189.953253,-117.092422,-46.1693,-0.333472,212.420798,192.602625,-117.61377,-43.869156,-2.006199,217.838714,196.387505,-117.983871,-42.30204,-4.378971,221.557479,201.784839,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,16604.68945,17030.1543,11711.70508,19105.64648,1228747,1647.415161,LACS,-116.139137,-59.774429,2.663725,2.248066,104.814873,62.613205,0.119846,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859892524,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,7,-113.809387,-70.413826,3.637666,156.614188,183.979123,-114.372635,-67.822441,3.747296,162.673691,183.685064,-115.236382,-63.868141,3.562643,171.927995,184.04078,-116.156326,-59.676506,3.006497,181.745755,185.241677,-117.03476,-55.683792,2.299094,191.101558,186.79165,-117.793922,-52.236057,1.636365,199.181525,188.248663,-118.570541,-48.720226,0.756502,207.425597,190.200832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
