ImageNo,RoiNo,RoiMean,RoiMedian,RoiMin,RoiMax,RoiTotal,RoiDev,RoiName,RoiCenterX,RoiCenterY,RoiCenterZ,LengthCm,LengthPix,AreaPix2,AreaCm2,RadiusWidthCM,RadiusHeightCM,RadiusWidthPIX,RadiusHeightPIX,RoiType,SOPInstanceUID,SeriesInstanceUID,StudyInstanceUID,NumOfPoints,mmX,mmY,mmZ,pxX,pxY,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,12283.5791,13861.32227,74.124718,29038.35742,8426535,7168.705566,MACS,-68.008781,-55.319199,0.315473,4.835051,220.398926,643.549011,1.231793,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859662500,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,14,-62.992226,-78.209976,2.747675,114.483046,185.020146,-63.573166,-75.477303,3.941051,120.848936,182.246511,-64.237495,-72.41169,4.236172,128.013678,181.52049,-65.158722,-68.251144,3.01342,137.773561,184.245619,-66.000671,-64.45507,1.780025,146.681081,187.001186,-66.911827,-60.315815,1.00686,156.381151,188.699013,-67.753441,-56.454823,0.971177,165.413843,188.715803,-68.485931,-53.079773,1.205321,173.303807,188.123977,-69.243423,-49.612068,1.040769,181.419379,188.441926,-69.925491,-46.542137,-0.054159,188.625175,190.893177,-70.988853,-41.776352,-2.126965,199.819803,195.551175,-71.757423,-38.276386,-2.6266,208.018309,196.634508,-72.394737,-35.43187,-4.081687,214.704817,199.912786,-72.69957,-34.174412,-6.636478,217.703268,205.731349,,,,,
18,0,13904.22754,15492.06641,18.531179,27500.26953,9788576,6919.715332,MACS,-70.117439,-54.995171,1.060592,4.717063,214.66452,676.557068,1.294973,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859672501,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,15,-65.160263,-77.622734,3.323973,116.840338,183.739839,-65.707161,-75.045357,4.534911,122.842545,180.928665,-66.333405,-72.15464,4.828619,129.598177,180.20882,-67.18438,-68.29335,4.023983,138.648708,181.983249,-68.061775,-64.316544,3.115663,147.971765,183.992737,-68.882431,-60.582924,2.518085,156.719038,185.296014,-69.646385,-57.072639,2.58597,164.92905,185.081949,-70.334,-53.882877,3.192869,172.377242,183.64121,-70.976753,-50.954258,2.80365,179.236758,184.481728,-71.643387,-47.985527,1.16179,186.217998,188.184838,-72.382454,-44.725956,-1.230027,193.896296,193.59731,-72.997169,-41.972115,-2.450258,200.365458,196.340276,-73.632156,-39.071846,-2.707514,207.155714,196.879635,-74.227081,-36.401535,-3.795836,213.42655,199.322492,-74.592735,-34.84531,-5.99704,217.116018,204.327828
19,0,13040.01953,13379.51172,389.154755,24405.5625,8476013,5858.375977,MACS,-71.328743,-58.733807,2.816178,3.839202,173.261108,618.171814,1.183219,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859682502,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,13,-67.200027,-77.63343,3.734296,117.80258,182.848952,-67.648232,-75.512375,4.885232,122.738661,180.182586,-68.291733,-72.535187,5.309599,129.693667,179.162632,-69.170395,-68.521523,4.961081,139.090478,179.89192,-70.058441,-64.47184,4.485135,148.574385,180.911876,-70.894478,-60.649963,4.205974,157.521032,181.485862,-71.644295,-57.191353,4.512489,165.604822,180.727201,-72.340958,-53.978802,4.781337,173.113878,180.058773,-72.972336,-51.120041,4.07404,179.817041,181.627532,-73.535896,-48.649887,1.973097,185.64221,186.388365,-74.079353,-46.292892,-0.504377,191.211043,192.011761,-74.667969,-43.715141,-2.739241,197.290899,197.076911,-74.769577,-43.267029,-3.068363,198.346475,197.821688,,,,,,,,,,
20,0,8375.672852,7227.160156,92.655899,24683.53125,8509684,6275.807129,MACS,-73.477936,-58.205189,3.895088,4.2753,184.974915,983.456665,1.882397,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859692503,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,15,-69.058128,-78.476768,4.166883,116.81654,181.921148,-69.673752,-75.579315,5.460718,123.565657,178.915111,-70.339241,-72.482307,6.225814,130.793371,177.114326,-71.099228,-68.99044,6.290156,138.960361,176.908655,-71.987694,-64.927612,6.01657,148.470501,177.465854,-72.728889,-61.518753,6.139825,156.442013,177.126926,-73.443092,-58.206997,6.745361,164.175626,175.687236,-74.094765,-55.175301,7.476911,171.251304,173.964225,-74.717125,-52.325294,7.358208,177.92089,174.187734,-75.21888,-50.103008,5.90224,183.151834,177.478454,-75.440216,-49.209358,3.698097,185.291433,182.50163,-75.604912,-48.581718,1.385278,186.811171,187.777687,-75.830963,-47.670349,-0.889697,188.993792,192.962461,-76.221687,-45.981453,-2.773277,192.986521,197.239558,-76.710449,-43.849174,-4.776713,198.01914,201.783186
21,0,6772.647461,2964.98877,426.217133,28649.20313,9820339,6969.544434,MACS,-75.478035,-58.359852,4.992054,4.590018,192.904984,1406.756958,2.692621,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859702504,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,15,-71.031853,-78.812065,4.189836,117.028072,181.921148,-71.591164,-76.169014,5.557207,123.180432,178.751291,-72.221268,-73.214828,6.675406,130.066181,176.145788,-73.009789,-69.562737,7.26743,138.59624,174.731281,-73.875931,-65.585907,7.290568,147.898612,174.611658,-74.470543,-62.846664,7.471076,154.302415,174.153105,-75.086647,-59.995586,7.889026,160.962556,173.14994,-75.752235,-56.894115,8.726565,168.199083,171.183473,-76.330246,-54.237103,8.798871,174.412956,170.973615,-77.009697,-51.161816,8.016994,181.6243,172.709209,-77.778206,-47.727333,6.341876,189.695799,176.480526,-78.22168,-45.824898,3.943031,194.199553,181.931831,-78.459015,-44.9156,0.696672,196.398962,189.337001,-78.620789,-44.340565,-2.32228,197.811369,196.227997,-78.711487,-44.109497,-5.661438,198.426283,203.856676
22,0,5896.869141,2538.771484,0,26666.36719,7766176.5,6251.17627,MACS,-78.011757,-56.158131,4.414701,4.425563,189.153976,1290.891113,2.470846,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859702505,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,12,-73.634117,-76.19194,5.48376,124.124836,178.966405,-74.225571,-73.424644,6.431169,130.577208,176.754404,-74.863998,-70.451828,7.196662,137.514374,174.95479,-75.535225,-67.340172,7.751338,144.781032,173.634725,-76.35981,-63.516598,8.4509,153.70984,171.971525,-77.006386,-60.520123,8.968777,160.707868,170.737505,-77.689621,-57.366276,9.290393,168.078409,169.949453,-78.41787,-54.040802,8.981358,175.864489,170.600042,-79.231689,-50.381367,7.611703,184.455412,173.669353,-79.918396,-47.34671,5.497431,191.601397,178.451181,-80.245941,-45.968681,3.237402,194.875326,183.593981,-80.442192,-45.226078,0.385697,196.675989,190.099869,,,,,,,,,,,,,,,
27,0,7269.850098,2890.864014,500.341858,22608.03906,8592963,6927.777344,LACS,-89.708344,-49.574352,2.188504,3.878845,153.147202,1146.601685,2.194667,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859752510,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,15,-86.737221,-63.204987,2.308128,159.557619,186.241476,-87.041893,-61.676662,4.649493,163.08063,180.864,-87.403358,-59.919403,6.419394,167.151917,176.788919,-87.829361,-57.875961,8.007921,171.896693,173.123621,-88.222328,-56.026234,8.837626,176.205224,171.196075,-88.732048,-53.69944,8.606623,181.653381,171.685064,-89.311638,-51.135292,6.874081,187.690215,175.60224,-89.829567,-48.861252,5.012828,193.051276,179.818475,-90.378838,-46.42477,3.487351,198.784854,183.264497,-90.944191,-43.914234,1.965456,204.691573,186.701076,-91.493347,-41.474297,0.511475,210.431636,189.983608,-91.793007,-40.20359,-1.376098,213.446208,194.276862,-91.928589,-39.734344,-4.135089,214.605369,200.575405,-92.020302,-39.522961,-7.913059,215.184001,209.207445,-91.959435,-39.941872,-10.428569,214.260085,214.964351
28,0,9041.493164,7690.439453,129.718262,23719.91016,9439319,7459.304688,LACS,-91.637863,-50.079636,2.805224,3.626698,147.795547,988.320251,1.891707,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859762511,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,13,-88.653297,-63.788467,2.62796,159.181983,185.567039,-89.138954,-61.405739,5.396718,164.694157,179.198301,-89.585754,-59.255825,7.183255,169.683595,175.07862,-90.076103,-56.937672,8.399768,175.079286,172.259052,-90.626907,-54.399754,8.576245,181.012237,171.813084,-91.212036,-51.755863,7.82186,187.213817,173.493073,-91.759163,-49.348751,5.94403,192.886531,177.744986,-92.250954,-47.206345,3.87349,197.944335,182.441817,-92.809326,-44.756325,1.838342,203.720935,187.052604,-93.348763,-42.383865,-0.027405,209.312316,191.277465,-93.770065,-40.574364,-2.267944,213.595134,196.368472,-93.988876,-39.692356,-4.472523,215.707511,201.392842,-94.072037,-39.52993,-8.425881,216.175517,210.426583,,,,,,,,,,
29,0,10181.35742,11137.23926,74.124718,22904.53711,9091952,7559.86377,LACS,-93.519249,-50.874519,2.183882,3.471258,148.207199,842.308105,1.61223,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859772512,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,12,-90.20031,-66.081345,2.6686,154.813792,185.55945,-90.827621,-63.090252,4.683836,161.765904,180.902892,-91.380112,-60.472481,6.159423,167.856709,177.486122,-92.024353,-57.469093,6.995159,174.863837,175.525416,-92.648735,-54.599174,7.068105,181.575731,175.310524,-93.341263,-51.476906,6.051758,188.902202,177.581289,-93.925232,-48.89473,4.281441,194.982059,181.584509,-94.631432,-45.77626,2.065099,202.326366,186.598241,-95.315155,-42.768978,-0.295828,209.413814,191.944314,-95.77536,-40.774227,-2.415304,214.127288,196.75549,-96.041237,-39.661327,-4.352353,216.773814,201.16447,-96.120163,-39.429462,-6.703321,217.368571,206.534358,,,,,,,,,,,,,,,
30,0,10753.86621,12360.29688,426.217133,24479.6875,10269942,7685.304199,LACS,-95.128899,-52.910381,1.675853,3.78763,165.48407,915.495544,1.752316,0,0,0,0,11,1.3.6.1.4.1.19291.2.1.3.16012510615619648499859782513,1.3.6.1.4.1.19291.2.1.2.16012510615619648499859492482,1.3.6.1.4.1.19291.2.1.1.16012510615619648499856002234,12,-91.437752,-69.825447,2.163803,147.062979,186.822953,-91.962845,-67.322075,3.844522,152.881613,182.939203,-92.541672,-64.605026,4.930944,159.213311,180.410301,-93.257202,-61.285324,5.5704,166.964763,178.89296,-94.034752,-57.707275,5.735111,175.331126,178.456436,-94.807312,-54.195965,5.109786,183.558976,179.82687,-95.615074,-50.557293,3.867914,192.098479,182.604465,-96.369476,-47.185215,2.234568,200.023074,186.281341,-97.216034,-43.426949,-0.061757,208.865836,191.467164,-97.819016,-40.769165,-2.042429,215.127227,195.949931,-98.175301,-39.257633,-4.273598,218.712814,201.024525,-98.310371,-38.787174,-6.96906,219.873382,207.177837,,,,,,,,,,,,,,,
